name,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation
Dharwar,6699,Valid,OC,1800,Fell,01/01/1848 12:00:00 AM,14.883330,75.600000,"(14.88333, 75.6)"
Dhurmsala,7640,Valid,LL6,32000,Fell,01/01/1860 12:00:00 AM,32.233330,76.466670,"(32.23333, 76.46667)"
Didim,47350,Valid,H3-5,3396,Fell,01/01/2007 12:00:00 AM,37.351720,27.329970,"(37.35172, 27.32997)"
Diep River,7642,Valid,L6,1000,Fell,01/01/1906 12:00:00 AM,-33.750000,18.566670,"(-33.75, 18.56667)"
Distrito Quebracho,7649,Valid,H4,400,Fell,01/01/1957 12:00:00 AM,-31.883330,-60.466670,"(-31.88333, -60.46667)"
Djati-Pengilon,7652,Valid,H6,166000,Fell,01/01/1884 12:00:00 AM,-7.500000,111.500000,"(-7.5, 111.5)"
Djermaia,7656,Valid,H,3950,Fell,01/01/1961 12:00:00 AM,12.733330,15.050000,"(12.73333, 15.05)"
Djoumine,7657,Valid,H5-6,10000,Fell,01/01/1999 12:00:00 AM,36.950000,9.550000,"(36.95, 9.55)"
Dokachi,7658,Valid,H5,3840,Fell,01/01/1903 12:00:00 AM,23.500000,90.333330,"(23.5, 90.33333)"
Dolgovoli,7659,Valid,L6,1600,Fell,01/01/1864 12:00:00 AM,50.750000,25.300000,"(50.75, 25.3)"
Domanitch,7661,Valid,L5,438,Fell,01/01/1907 12:00:00 AM,40.000000,29.000000,"(40.0, 29.0)"
Dong Ujimqin Qi,7706,Valid,Mesosiderite,128800,Fell,01/01/1995 12:00:00 AM,45.500000,119.033330,"(45.5, 119.03333)"
Donga Kohrod,7707,Valid,H6,230,Fell,01/01/1899 12:00:00 AM,21.866670,82.450000,"(21.86667, 82.45)"
Dongtai,7708,Valid,LL6,5500,Fell,01/01/1970 12:00:00 AM,32.916670,120.783330,"(32.91667, 120.78333)"
Doroninsk,7718,Valid,H5-7,3891,Fell,01/01/1805 12:00:00 AM,51.200000,112.300000,"(51.2, 112.3)"
Dosso,7722,Valid,L6,1250,Fell,01/01/1962 12:00:00 AM,13.050000,3.166670,"(13.05, 3.16667)"
Douar Mghila,7723,Valid,LL6,1161,Fell,01/01/1932 12:00:00 AM,32.333330,-6.300000,"(32.33333, -6.3)"
Dowa,7725,Valid,Stone-uncl,642,Fell,01/01/1976 12:00:00 AM,-13.666670,33.916670,"(-13.66667, 33.91667)"
Drake Creek,7728,Valid,L6,5000,Fell,01/01/1827 12:00:00 AM,36.400000,-86.500000,"(36.4, -86.5)"
Dresden (Ontario),7731,Valid,H6,47700,Fell,01/01/1939 12:00:00 AM,42.520000,-82.260000,"(42.52, -82.26)"
Dubrovnik,7736,Valid,L3-6,1900,Fell,01/01/1951 12:00:00 AM,42.458330,18.441670,"(42.45833, 18.44167)"
Dunbogan,7743,Valid,L6,30,Fell,01/01/1999 12:00:00 AM,-31.666670,152.833330,"(-31.66667, 152.83333)"
Dundrum,7745,Valid,H5,2270,Fell,01/01/1865 12:00:00 AM,52.550000,-8.033330,"(52.55, -8.03333)"
Dunhua,7749,Valid,Stone-uncl,,Fell,01/01/1976 12:00:00 AM,43.333330,128.250000,"(43.33333, 128.25)"
Durala,7750,Valid,L6,13200,Fell,01/01/1815 12:00:00 AM,30.300000,76.633330,"(30.3, 76.63333)"
Duruma,7752,Valid,L6,577,Fell,01/01/1853 12:00:00 AM,-4.000000,39.500000,"(-4.0, 39.5)"
Duwun,7754,Valid,L6,2117,Fell,01/01/1943 12:00:00 AM,33.433330,127.266670,"(33.43333, 127.26667)"
Dwaleni,7755,Valid,H4-6,3230,Fell,01/01/1970 12:00:00 AM,-27.200000,31.316670,"(-27.2, 31.31667)"
Dyalpur,7757,Valid,Ureilite,300,Fell,01/01/1872 12:00:00 AM,26.250000,82.000000,"(26.25, 82.0)"
Dyarrl Island,7758,Valid,Mesosiderite-A1,188,Fell,01/01/1933 12:00:00 AM,-3.000000,151.000000,"(-3.0, 151.0)"
Eagle,7760,Valid,EL6,10000,Fell,01/01/1947 12:00:00 AM,40.781670,-96.471670,"(40.78167, -96.47167)"
Ehole,7774,Valid,H5,2400,Fell,01/01/1961 12:00:00 AM,-17.300000,15.833330,"(-17.3, 15.83333)"
Eichstädt,7775,Valid,H5,3000,Fell,01/01/1785 12:00:00 AM,48.900000,11.216670,"(48.9, 11.21667)"
Ekeby,7776,Valid,H4,3336,Fell,01/01/1939 12:00:00 AM,56.033330,13.000000,"(56.03333, 13.0)"
Ekh Khera,7777,Valid,H6,840,Fell,01/01/1916 12:00:00 AM,28.266670,78.783330,"(28.26667, 78.78333)"
El Idrissia,7807,Valid,L6,10000,Fell,01/01/1989 12:00:00 AM,34.416670,3.250000,"(34.41667, 3.25)"
El Paso de Aguila,45977,Valid,H5,17226,Fell,01/01/1977 12:00:00 AM,25.370000,-97.370000,"(25.37, -97.37)"
El Tigre,7819,Valid,L6,5000,Fell,01/01/1993 12:00:00 AM,19.967220,-103.051670,"(19.96722, -103.05167)"
Elbert,7822,Valid,LL6,680.5,Fell,01/01/1998 12:00:00 AM,39.246670,-104.588170,"(39.24667, -104.58817)"
Elbogen,7823,Valid,"Iron, IID",107000,Fell,12/24/1399 12:00:00 AM,50.183330,12.733330,"(50.18333, 12.73333)"
Elenovka,7824,Valid,L5,54640,Fell,01/01/1951 12:00:00 AM,47.833330,37.666670,"(47.83333, 37.66667)"
Ellemeet,10019,Valid,Diogenite,1470,Fell,01/01/1925 12:00:00 AM,51.750000,4.000000,"(51.75, 4.0)"
Emmaville,10033,Valid,Eucrite-mmict,127,Fell,01/01/1900 12:00:00 AM,-29.466670,151.616670,"(-29.46667, 151.61667)"
Enshi,10038,Valid,H5,8000,Fell,01/01/1974 12:00:00 AM,30.300000,109.500000,"(30.3, 109.5)"
Ensisheim,10039,Valid,LL6,127000,Fell,12/23/1491 12:00:00 AM,47.866670,7.350000,"(47.86667, 7.35)"
Épinal,10041,Valid,H5,277,Fell,01/01/1822 12:00:00 AM,48.183330,6.466670,"(48.18333, 6.46667)"
Erakot,10042,Valid,CM2,113,Fell,01/01/1940 12:00:00 AM,19.033330,81.891670,"(19.03333, 81.89167)"
Erevan,10043,Valid,Howardite,107.2,Fell,01/01/1911 12:00:00 AM,40.300000,44.500000,"(40.3, 44.5)"
Ergheo,10044,Valid,L5,20000,Fell,01/01/1889 12:00:00 AM,1.166670,44.166670,"(1.16667, 44.16667)"
Erxleben,10049,Valid,H6,2250,Fell,01/01/1812 12:00:00 AM,52.216670,11.250000,"(52.21667, 11.25)"
Esnandes,10051,Valid,L6,1500,Fell,01/01/1837 12:00:00 AM,46.250000,-1.100000,"(46.25, -1.1)"
Essebi,10055,Valid,C2-ung,500,Fell,01/01/1957 12:00:00 AM,2.883330,30.833330,"(2.88333, 30.83333)"
Estherville,10059,Valid,Mesosiderite-A3/4,320000,Fell,01/01/1879 12:00:00 AM,43.416670,-94.833330,"(43.41667, -94.83333)"
Farmington,10074,Valid,L5,89400,Fell,01/01/1890 12:00:00 AM,39.750000,-97.033330,"(39.75, -97.03333)"
Farmville,10075,Valid,H4,56000,Fell,01/01/1934 12:00:00 AM,35.550000,-77.533330,"(35.55, -77.53333)"
Favars,10078,Valid,H5,1500,Fell,01/01/1844 12:00:00 AM,44.383330,2.816670,"(44.38333, 2.81667)"
Fayetteville,10079,Valid,H4,2360,Fell,01/01/1934 12:00:00 AM,36.050000,-94.166670,"(36.05, -94.16667)"
Feid Chair,10080,Valid,H4,380,Fell,01/01/1875 12:00:00 AM,36.883330,8.450000,"(36.88333, 8.45)"
Felix,10081,Valid,CO3.3,3200,Fell,01/01/1900 12:00:00 AM,32.533330,-87.166670,"(32.53333, -87.16667)"
Fenghsien-Ku,10086,Valid,H5,82,Fell,01/01/1924 12:00:00 AM,34.600000,116.750000,"(34.6, 116.75)"
Ferguson,10088,Valid,OC,220,Fell,01/01/1889 12:00:00 AM,36.100000,-81.416670,"(36.1, -81.41667)"
Fermo,10091,Valid,H3-5,10200,Fell,01/01/1996 12:00:00 AM,43.181110,13.753330,"(43.18111, 13.75333)"
Fisher,10107,Valid,L6,17600,Fell,01/01/1894 12:00:00 AM,47.816670,-96.850000,"(47.81667, -96.85)"
Florence,10111,Valid,H3,3640,Fell,01/01/1922 12:00:00 AM,30.833330,-97.766670,"(30.83333, -97.76667)"
Forest City,10119,Valid,H5,152000,Fell,01/01/1890 12:00:00 AM,43.250000,-93.666670,"(43.25, -93.66667)"
Forest Vale,10120,Valid,H4,26000,Fell,01/01/1942 12:00:00 AM,-33.350000,146.858330,"(-33.35, 146.85833)"
Forksville,10123,Valid,L6,6067,Fell,01/01/1924 12:00:00 AM,36.783330,-78.083330,"(36.78333, -78.08333)"
Forsbach,10163,Valid,H6,240,Fell,01/01/1900 12:00:00 AM,50.950000,7.316670,"(50.95, 7.31667)"
Forsyth,10164,Valid,L6,16300,Fell,01/01/1829 12:00:00 AM,33.016670,-83.966670,"(33.01667, -83.96667)"
Fort Flatters,10166,Valid,Stone-uncl,,Fell,01/01/1944 12:00:00 AM,28.250000,7.000000,"(28.25, 7.0)"
Frankfort (stone),10177,Valid,Howardite,650,Fell,01/01/1868 12:00:00 AM,34.483330,-87.833330,"(34.48333, -87.83333)"
Fuhe,52412,Valid,L5,23000,Fell,01/01/1945 12:00:00 AM,31.475560,113.566940,"(31.47556, 113.56694)"
Fukutomi,10836,Valid,L5,11620,Fell,01/01/1882 12:00:00 AM,33.183330,130.200000,"(33.18333, 130.2)"
Fünen,10838,Valid,Stone-uncl,,Fell,01/01/1654 12:00:00 AM,55.333330,10.333330,"(55.33333, 10.33333)"
Futtehpur,10839,Valid,L6,4000,Fell,01/01/1822 12:00:00 AM,25.950000,80.816670,"(25.95, 80.81667)"
Fuyang,10840,Valid,Stone-uncl,2500,Fell,01/01/1977 12:00:00 AM,32.900000,115.900000,"(32.9, 115.9)"
Galapian,10846,Valid,H6,132.69999999999999,Fell,01/01/1826 12:00:00 AM,44.300000,0.400000,"(44.3, 0.4)"
Galim (a),10848,Valid,LL6,36.1,Fell,01/01/1952 12:00:00 AM,7.050000,12.433330,"(7.05, 12.43333)"
Galim (b),10849,Valid,EH3/4-an,28,Fell,01/01/1952 12:00:00 AM,7.050000,12.433330,"(7.05, 12.43333)"
Galkiv,10850,Valid,H4,5000,Fell,01/01/1995 12:00:00 AM,51.683330,30.783330,"(51.68333, 30.78333)"
Gambat,10851,Valid,L6,6400,Fell,01/01/1897 12:00:00 AM,27.350000,68.533330,"(27.35, 68.53333)"
Gao-Guenie,10854,Valid,H5,,Fell,01/01/1960 12:00:00 AM,11.650000,-2.183330,"(11.65, -2.18333)"
Garhi Yasin,10860,Valid,"Iron, IIE",380,Fell,01/01/1917 12:00:00 AM,27.883330,68.533330,"(27.88333, 68.53333)"
Garland,10861,Valid,Diogenite-pm,102,Fell,01/01/1950 12:00:00 AM,41.683330,-112.133330,"(41.68333, -112.13333)"
Gashua,44882,Valid,L6,4162,Fell,01/01/1984 12:00:00 AM,12.850000,11.033330,"(12.85, 11.03333)"
Gasseltepaoua,10866,Valid,H5,,Fell,01/01/2000 12:00:00 AM,14.150830,-2.041670,"(14.15083, -2.04167)"
Geidam,10870,Valid,H5,725,Fell,01/01/1950 12:00:00 AM,12.916670,11.916670,"(12.91667, 11.91667)"
Gifu,10914,Valid,L6,14290,Fell,01/01/1909 12:00:00 AM,35.533330,136.883330,"(35.53333, 136.88333)"
Girgenti,10917,Valid,L6,18000,Fell,01/01/1853 12:00:00 AM,37.316670,13.566670,"(37.31667, 13.56667)"
Git-Git,10919,Valid,L6,480,Fell,01/01/1947 12:00:00 AM,9.600000,9.916670,"(9.6, 9.91667)"
Glanerbrug,10923,Valid,L/LL5,670,Fell,01/01/1990 12:00:00 AM,52.200000,6.866670,"(52.2, 6.86667)"
Glanggang,10924,Valid,H5-6,1303,Fell,01/01/1939 12:00:00 AM,-7.250000,107.700000,"(-7.25, 107.7)"
Glasatovo,10926,Valid,H4,152000,Fell,01/01/1918 12:00:00 AM,57.350000,37.616670,"(57.35, 37.61667)"
Glatton,10930,Valid,L6,767,Fell,01/01/1991 12:00:00 AM,52.459720,-0.300000,"(52.45972, -0.3)"
Gnadenfrei,10936,Valid,H5,1750,Fell,01/01/1879 12:00:00 AM,50.666670,16.766670,"(50.66667, 16.76667)"
Gopalpur,10948,Valid,H6,1600,Fell,01/01/1865 12:00:00 AM,24.233330,89.050000,"(24.23333, 89.05)"
Gorlovka,10949,Valid,H3.7,3618,Fell,01/01/1974 12:00:00 AM,48.283330,38.083330,"(48.28333, 38.08333)"
Granes,10956,Valid,L6,9000,Fell,01/01/1964 12:00:00 AM,42.900000,2.250000,"(42.9, 2.25)"
Grefsheim,11196,Valid,L5,45.5,Fell,01/01/1976 12:00:00 AM,60.666670,11.000000,"(60.66667, 11.0)"
Grimsby,50911,Valid,H5,215,Fell,01/01/2009 12:00:00 AM,43.200000,-79.616670,"(43.2, -79.61667)"
Grosnaja,11206,Valid,CV3,3500,Fell,01/01/1861 12:00:00 AM,43.666670,45.383330,"(43.66667, 45.38333)"
Gross-Divina,11207,Valid,H5,10500,Fell,01/01/1837 12:00:00 AM,49.266670,18.716670,"(49.26667, 18.71667)"
Grossliebenthal,11208,Valid,L6,8000,Fell,01/01/1881 12:00:00 AM,46.350000,30.583330,"(46.35, 30.58333)"
Grüneberg,11426,Valid,H4,1000,Fell,01/01/1841 12:00:00 AM,51.933330,15.500000,"(51.93333, 15.5)"
Grzempach,11429,Valid,H5,690,Fell,01/01/1910 12:00:00 AM,52.866670,16.633330,"(52.86667, 16.63333)"
Gualeguaychú,11432,Valid,H6,22000,Fell,01/01/1932 12:00:00 AM,-33.000000,-58.616670,"(-33.0, -58.61667)"
Guangmingshan,11435,Valid,H5,2910,Fell,01/01/1996 12:00:00 AM,39.804170,122.763890,"(39.80417, 122.76389)"
Guangnan,11436,Valid,L6,,Fell,01/01/1983 12:00:00 AM,24.100000,105.000000,"(24.1, 105.0)"
Guangrao,11437,Valid,L6,1900,Fell,01/01/1980 12:00:00 AM,37.100000,118.400000,"(37.1, 118.4)"
Guareña,11439,Valid,H6,39000,Fell,01/01/1892 12:00:00 AM,38.733330,-6.016670,"(38.73333, -6.01667)"
Guêa,11440,Valid,Stone-uncl,1915,Fell,01/01/1891 12:00:00 AM,43.766670,20.233330,"(43.76667, 20.23333)"
Guibga,11442,Valid,L5,288,Fell,01/01/1972 12:00:00 AM,13.500000,-0.683330,"(13.5, -0.68333)"
Guidder,11443,Valid,LL5,968,Fell,01/01/1949 12:00:00 AM,9.916670,13.983330,"(9.91667, 13.98333)"
Gujargaon,11448,Valid,H5,2449,Fell,01/01/1982 12:00:00 AM,22.983330,76.050000,"(22.98333, 76.05)"
Gujba,11449,Valid,CBa,100000,Fell,01/01/1984 12:00:00 AM,11.491670,11.658330,"(11.49167, 11.65833)"
Gumoschnik,11450,Valid,H5,5700,Fell,01/01/1904 12:00:00 AM,42.900000,24.700000,"(42.9, 24.7)"
Gurram Konda,11464,Valid,L6,28,Fell,01/01/1814 12:00:00 AM,13.783330,78.566670,"(13.78333, 78.56667)"
Gursum,11465,Valid,H4/5,34650,Fell,01/01/1981 12:00:00 AM,9.366670,42.416670,"(9.36667, 42.41667)"
Gütersloh,11466,Valid,H3/4,1000,Fell,01/01/1851 12:00:00 AM,51.916670,8.383330,"(51.91667, 8.38333)"
Gyokukei,11467,Valid,OC,1320,Fell,01/01/1930 12:00:00 AM,35.000000,127.500000,"(35.0, 127.5)"
Hachi-oji,11468,Valid,H?,0.2,Fell,01/01/1817 12:00:00 AM,35.650000,139.333330,"(35.65, 139.33333)"
Hainaut,11472,Valid,H3-6,9000,Fell,01/01/1934 12:00:00 AM,50.316670,3.733330,"(50.31667, 3.73333)"
Hallingeberg,11479,Valid,L3.4,1456,Fell,01/01/1944 12:00:00 AM,57.816670,16.233330,"(57.81667, 16.23333)"
Hamlet,11485,Valid,LL4,3710,Fell,01/01/1959 12:00:00 AM,41.383330,-86.600000,"(41.38333, -86.6)"
Haraiya,11824,Valid,Eucrite-mmict,1000,Fell,01/01/1878 12:00:00 AM,26.800000,82.533330,"(26.8, 82.53333)"
Haripura,11829,Valid,CM2,315,Fell,01/01/1921 12:00:00 AM,28.383330,75.783330,"(28.38333, 75.78333)"
Harleton,11830,Valid,L6,8360,Fell,01/01/1961 12:00:00 AM,32.675000,-94.511670,"(32.675, -94.51167)"
Harrison County,11842,Valid,L6,680,Fell,01/01/1859 12:00:00 AM,38.250000,-86.166670,"(38.25, -86.16667)"
Hashima,11848,Valid,H4,1110.5999999999999,Fell,01/01/1910 12:00:00 AM,35.294500,136.700330,"(35.2945, 136.70033)"
Hassi-Jekna,11852,Valid,"Iron, IAB-sHL",1250,Fell,01/01/1890 12:00:00 AM,28.950000,0.816670,"(28.95, 0.81667)"
Hatford,11855,Valid,Stone-uncl,29000,Fell,01/01/1628 12:00:00 AM,51.650000,-1.516670,"(51.65, -1.51667)"
Haverö,11859,Valid,Ureilite,1544,Fell,01/01/1971 12:00:00 AM,60.245560,22.061940,"(60.24556, 22.06194)"
Hedeskoga,11869,Valid,H5,3500,Fell,01/01/1922 12:00:00 AM,55.466670,13.783330,"(55.46667, 13.78333)"
Hedjaz,11870,Valid,L3.7-6,6100,Fell,01/01/1910 12:00:00 AM,27.333330,35.666670,"(27.33333, 35.66667)"
Heredia,11875,Valid,H5,1000,Fell,01/01/1857 12:00:00 AM,10.000000,-84.100000,"(10.0, -84.1)"
Hessle,11878,Valid,H5,20000,Fell,01/01/1869 12:00:00 AM,59.850000,17.666670,"(59.85, 17.66667)"
Higashi-koen,11883,Valid,H5,750,Fell,01/01/1897 12:00:00 AM,33.600000,130.433330,"(33.6, 130.43333)"
High Possil,11884,Valid,L6,4500,Fell,01/01/1804 12:00:00 AM,55.900000,-4.233330,"(55.9, -4.23333)"
Hiroshima,11889,Valid,H5,414,Fell,01/01/2003 12:00:00 AM,34.450000,132.383330,"(34.45, 132.38333)"
Hoima,44714,Valid,H6,167.7,Fell,01/01/2003 12:00:00 AM,1.345000,31.472780,"(1.345, 31.47278)"
Hökmark,11893,Valid,L4,305.5,Fell,01/01/1954 12:00:00 AM,64.433330,21.200000,"(64.43333, 21.2)"
Holbrook,11894,Valid,L/LL6,220000,Fell,01/01/1912 12:00:00 AM,34.900000,-110.183330,"(34.9, -110.18333)"
Holetta,11895,Valid,Stone-uncl,1415,Fell,01/01/1923 12:00:00 AM,9.066670,38.416670,"(9.06667, 38.41667)"
Homestead,11901,Valid,L5,230000,Fell,01/01/1875 12:00:00 AM,41.800000,-91.866670,"(41.8, -91.86667)"
Honolulu,11904,Valid,L5,2420,Fell,01/01/1825 12:00:00 AM,21.300000,-157.866670,"(21.3, -157.86667)"
